Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100n","C_0805_2012Metric",5.685000,-34.742500,180.000000,top
"C102","100n","C_0805_2012Metric",49.050000,-17.950000,-90.000000,top
"C103","100n","C_0805_2012Metric",13.400000,-25.050000,90.000000,top
"C104","100n","C_0805_2012Metric",81.100000,-44.950000,-90.000000,top
"FID101","Fiducial","Fiducial_1mm_Mask2mm",2.000000,-9.000000,0.000000,top
"FID102","Fiducial","Fiducial_1mm_Mask2mm",82.000000,-53.000000,0.000000,top
"Q1","AO4407A","SOIC-8_3.9x4.9mm_P1.27mm",16.820000,-18.990000,180.000000,top
"Q2","AO4407A","SOIC-8_3.9x4.9mm_P1.27mm",42.420000,-18.990000,180.000000,top
"Q3","AO3400A","SOT-23",18.750000,-14.550000,-90.000000,top
"Q4","AO3400A","SOT-23",44.350000,-14.550000,-90.000000,top
"Q5","AO4407A","SOIC-8_3.9x4.9mm_P1.27mm",29.620000,-18.990000,180.000000,top
"Q6","AO4407A","SOIC-8_3.9x4.9mm_P1.27mm",55.220000,-18.990000,180.000000,top
"Q7","AO3400A","SOT-23",31.550000,-14.550000,-90.000000,top
"Q8","AO3400A","SOT-23",57.150000,-14.550000,-90.000000,top
"Q9","AO4407A","SOIC-8_3.9x4.9mm_P1.27mm",16.900000,-41.970000,180.000000,top
"Q10","AO4407A","SOIC-8_3.9x4.9mm_P1.27mm",29.640000,-41.970000,180.000000,top
"Q11","AO3400A","SOT-23",18.900000,-37.550000,-90.000000,top
"Q12","AO3400A","SOT-23",31.600000,-37.550000,-90.000000,top
"Q13","AO4407A","SOIC-8_3.9x4.9mm_P1.27mm",42.440000,-41.970000,180.000000,top
"Q14","AO4407A","SOIC-8_3.9x4.9mm_P1.27mm",55.240000,-41.970000,180.000000,top
"Q15","AO3400A","SOT-23",44.400000,-37.550000,-90.000000,top
"Q16","AO3400A","SOT-23",57.200000,-37.550000,-90.000000,top
"R1","10k","R_0805_2012Metric",21.500000,-17.950000,90.000000,top
"R2","10k","R_0805_2012Metric",47.100000,-17.950000,90.000000,top
"R3","2k2","R_0805_2012Metric",5.685000,-38.642500,0.000000,top
"R4","2k2","R_0805_2012Metric",5.672500,-36.717500,0.000000,top
"R5","10k","R_0805_2012Metric",12.650000,-1.900000,180.000000,top
"R6","10k","R_0805_2012Metric",38.200000,-1.900000,180.000000,top
"R7","10k","R_0805_2012Metric",5.672500,-40.580000,180.000000,top
"R8","10k","R_0805_2012Metric",34.350000,-17.950000,90.000000,top
"R9","10k","R_0805_2012Metric",59.900000,-17.950000,90.000000,top
"R10","10k","R_0805_2012Metric",25.550000,-1.900000,180.000000,top
"R11","10k","R_0805_2012Metric",51.162500,-1.900000,180.000000,top
"R12","10k","R_0805_2012Metric",21.600000,-40.950000,90.000000,top
"R13","10k","R_0805_2012Metric",34.300000,-40.950000,90.000000,top
"R14","10k","R_0805_2012Metric",78.690000,-44.950000,90.000000,top
"R15","10k","R_0805_2012Metric",76.165000,-44.950000,90.000000,top
"R16","10k","R_0805_2012Metric",73.640000,-44.950000,90.000000,top
"R17","10k","R_0805_2012Metric",83.050000,-44.950000,90.000000,top
"R18","10k","R_0805_2012Metric",68.040000,-49.840000,180.000000,top
"R19","10k","R_0805_2012Metric",71.410000,-49.840000,0.000000,top
"R20","10k","R_0805_2012Metric",21.600000,-37.550000,-90.000000,top
"R21","10k","R_0805_2012Metric",34.350000,-37.550000,-90.000000,top
"R22","10k","R_0805_2012Metric",78.130000,-49.840000,0.000000,top
"R23","10k","R_0805_2012Metric",74.770000,-49.840000,0.000000,top
"R24","10k","R_0805_2012Metric",47.100000,-40.950000,90.000000,top
"R25","10k","R_0805_2012Metric",59.900000,-40.950000,90.000000,top
"R26","10k","R_0805_2012Metric",47.100000,-37.550000,-90.000000,top
"R27","10k","R_0805_2012Metric",59.900000,-37.550000,-90.000000,top
"R28","10k","R_0805_2012Metric",2.300000,-40.580000,180.000000,top
"U2","74HC4511D.652","SOIC-16_3.9x9.9mm_P1.27mm",76.880000,-39.460000,-90.000000,top
